NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""SOJA""",1.843,"889.573.870,63",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""ARROZ""",1.773,"860.797.009,80",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""TRIGO""",487,"214.102.503,10",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""MILHO""",278,"115.073.795,32",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""MAÇÃ""",52,"73.059.550,00",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""UVA""",25,"53.007.948,59",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""AVEIA""",57,"14.498.933,32",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""ALHO""",9,"4.418.440,00",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""FEIJÃO""",9,"3.009.735,48",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,RS,"""CANOLA""",1,"78.500,00",4.534,"2.227.620.286,24",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,PR,"""SOJA""",1.663,"372.092.805,17",2.704,"647.844.537,20",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,PR,"""MILHO""",820,"182.249.788,38",2.704,"647.844.537,20",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,PR,"""TRIGO""",142,"55.001.960,65",2.704,"647.844.537,20",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,PR,"""ARROZ""",38,"14.061.751,73",2.704,"647.844.537,20",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
SUL,PR,"""AVEIA""",4,"7.590.000,00",2.704,"647.844.537,20",8.670,"3.169.798.914,79",12.563,"7.667.205.566,37"
