NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",232,"529.321.944,46",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""UVA""",111,"203.148.129,68",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""TRIGO""",109,"136.326.529,55",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""SOJA""",26,"133.180.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""MILHO""",121,"130.704.589,99",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""CANOLA""",3,"14.932.071,88",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""PÊSSEGO""",4,"13.924.492,30",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""FEIJÃO""",16,"11.600.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""MAÇÃ""",5,"4.900.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""GIRASSOL""",1,"2.000.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""LARANJA""",2,"1.000.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""SORGO""",1,"350.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,RS,"""AVEIA""",1,"150.000,00",632,"1.181.537.757,86",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""TRIGO""",69,"179.177.413,86",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""MILHO""",109,"166.388.696,13",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",58,"68.850.097,69",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""SOJA""",12,"43.100.000,00",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""AVEIA""",27,"37.865.000,00",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""ALGODÃO""",27,"26.168.488,81",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""CEVADA""",1,"15.056.744,59",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""CAFÉ""",5,"10.151.194,05",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""ARROZ""",12,"9.267.642,29",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""LARANJA""",3,"5.985.054,71",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,PR,"""UVA""",1,"150.000,00",324,"562.160.332,13",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""ARROZ""",91,"195.135.434,35",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""MILHO""",23,"43.379.678,85",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""ALGODÃO""",20,"37.593.001,99",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""TRIGO""",28,"23.346.780,49",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""MAÇÃ""",11,"16.932.000,00",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""UVA""",5,"2.960.000,00",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",1,"500.000,00",179,"319.846.895,68",1.135,"2.063.544.985,67",1.708,"3.077.987.324,07"
SUDESTE,SP,"""ARROZ""",93,"140.907.687,31",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""ALGODÃO""",26,"76.799.318,80",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MILHO""",44,"63.174.642,35",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""AMENDOIM""",9,"60.397.674,83",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""CACAU""",3,"53.815.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""GOIABA""",10,"22.867.675,35",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""TOMATE""",11,"22.332.464,23",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""TRIGO""",12,"17.058.715,10",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MAMONA""",5,"13.499.242,98",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""CEVADA""",3,"10.000.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""CAFÉ""",10,"7.861.768,99",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MORANGO""",5,"7.498.792,92",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""BANANA""",7,"5.869.723,77",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""ABACAXI""",3,"3.204.546,35",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MAÇÃ""",3,"3.123.315,06",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""PÊSSEGO""",4,"2.639.284,71",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""SOJA""",2,"2.300.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""ALHO""",1,"2.000.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MAMÃO""",4,"1.503.232,74",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MARACUJÁ""",3,"1.450.728,08",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""ACEROLA""",3,"1.396.171,31",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MANDIOCA (AIPIM, MACAXEIRA)""",1,"1.000.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""MANGA""",2,"880.148,19",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,SP,"""FEIJÃO""",1,"550.000,00",265,"522.130.133,07",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""TRIGO""",10,"44.947.810,44",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""MILHO""",22,"36.809.346,58",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""CAFÉ""",22,"25.710.520,75",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""ALGODÃO""",24,"21.350.055,71",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""ARROZ""",9,"11.535.346,71",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""BANANA""",2,"2.866.769,59",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""MAÇÃ""",1,"2.000.000,00",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""SORGO""",1,"1.000.000,00",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""TOMATE""",1,"1.000.000,00",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""ALHO""",1,"252.234,00",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""MANGA""",2,"90.000,00",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,MG,"""FEIJÃO""",1,"54.149,78",96,"147.616.233,56",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,ES,"""CAFÉ""",6,"10.110.000,00",6,"10.110.000,00",368,"681.356.366,63",1.708,"3.077.987.324,07"
SUDESTE,RJ,"""MAÇÃ""",1,"1.500.000,00",1,"1.500.000,00",368,"681.356.366,63",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""MILHO""",40,"72.476.111,71",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""ARROZ""",11,"9.104.303,21",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""SORGO""",4,"6.051.872,68",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""TRIGO""",6,"4.000.000,00",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""CAFÉ""",1,"1.500.000,00",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,GO,"""SOJA""",8,"874.604,16",70,"94.006.891,76",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""MILHO""",17,"38.248.190,72",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""ARROZ""",28,"20.630.486,45",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""GIRASSOL""",3,"17.000.000,00",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""SOJA""",1,"3.500.000,00",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""ALGODÃO""",3,"3.000.000,00",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MT,"""SORGO""",2,"584.711,72",54,"82.963.388,89",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,DF,"""SORGO""",3,"6.903.789,54",16,"19.514.373,12",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,DF,"""MILHO""",4,"5.536.916,09",16,"19.514.373,12",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,DF,"""TRIGO""",1,"5.000.000,00",16,"19.514.373,12",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,DF,"""SOJA""",8,"2.073.667,49",16,"19.514.373,12",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MS,"""ALGODÃO""",1,"8.205.000,00",11,"15.704.796,93",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MS,"""MILHO""",6,"5.199.796,93",11,"15.704.796,93",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MS,"""ARROZ""",2,"1.600.000,00",11,"15.704.796,93",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MS,"""MANDIOCA (AIPIM, MACAXEIRA)""",1,"400.000,00",11,"15.704.796,93",151,"212.189.450,70",1.708,"3.077.987.324,07"
CENTRO-OESTE,MS,"""SOJA""",1,"300.000,00",11,"15.704.796,93",151,"212.189.450,70",1.708,"3.077.987.324,07"
NORDESTE,CE,"""ALGODÃO""",3,"18.501.152,77",18,"43.508.555,62",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,CE,"""CAJU""",10,"15.866.090,85",18,"43.508.555,62",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,CE,"""MILHO""",4,"8.436.551,00",18,"43.508.555,62",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,CE,"""SORGO""",1,"704.761,00",18,"43.508.555,62",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,SE,"""ALGODÃO""",5,"10.643.999,97",5,"10.643.999,97",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,BA,"""ALGODÃO""",4,"7.745.320,00",7,"9.545.320,00",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,BA,"""CAFÉ""",3,"1.800.000,00",7,"9.545.320,00",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,PE,"""MILHO""",2,"7.633.066,96",2,"7.633.066,96",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,PI,"""MILHO""",3,"3.083.505,69",3,"3.083.505,69",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,PB,"""MILHO""",2,"3.000.000,00",2,"3.000.000,00",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORDESTE,MA,"""ARROZ""",1,"501.072,83",1,"501.072,83",38,"77.915.521,07",1.708,"3.077.987.324,07"
NORTE,RO,"""ARROZ""",10,"30.860.000,00",13,"34.821.000,00",16,"42.981.000,00",1.708,"3.077.987.324,07"
NORTE,RO,"""MILHO""",2,"3.661.000,00",13,"34.821.000,00",16,"42.981.000,00",1.708,"3.077.987.324,07"
NORTE,RO,"""CAFÉ""",1,"300.000,00",13,"34.821.000,00",16,"42.981.000,00",1.708,"3.077.987.324,07"
NORTE,PA,"""MILHO""",3,"8.160.000,00",3,"8.160.000,00",16,"42.981.000,00",1.708,"3.077.987.324,07"

