"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Tocantins";"2004";"Milho (em grão)";"143157";"53346"
"Tocantins";"2004";"Noz (fruto seco)";"-";"-"
"Tocantins";"2004";"Palmito";"-";"-"
"Tocantins";"2004";"Pera";"-";"-"
"Tocantins";"2004";"Pêssego";"-";"-"
"Tocantins";"2004";"Pimenta-do-reino";"-";"-"
"Tocantins";"2004";"Rami (fibra)";"-";"-"
"Tocantins";"2004";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2004";"Soja (em grão)";"652322";"375745"
"Tocantins";"2004";"Sorgo (em grão)";"14698";"4151"
"Tocantins";"2004";"Tangerina";"690";"299"
"Tocantins";"2004";"Tomate";"2670";"2422"
"Tocantins";"2004";"Trigo (em grão)";"-";"-"
"Tocantins";"2004";"Triticale (em grão)";"...";"..."
"Tocantins";"2004";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2004";"Urucum (semente)";"-";"-"
"Tocantins";"2004";"Uva";"90";"196"
"Tocantins";"2005";"Abacate";"-";"-"
"Tocantins";"2005";"Abacaxi*";"44820";"39920"
"Tocantins";"2005";"Açaí";"...";"..."
"Tocantins";"2005";"Alfafa fenada";"...";"..."
"Tocantins";"2005";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2005";"Algodão herbáceo (em caroço)";"2720";"2538"
"Tocantins";"2005";"Alho";"-";"-"
"Tocantins";"2005";"Amendoim (em casca)";"4142";"3080"
"Tocantins";"2005";"Arroz (em casca)";"463529";"151478"
"Tocantins";"2005";"Aveia (em grão)";"-";"-"
"Tocantins";"2005";"Azeitona";"-";"-"
"Tocantins";"2005";"Banana (cacho)";"35368";"18140"
"Tocantins";"2005";"Batata-doce";"-";"-"
"Tocantins";"2005";"Batata-inglesa";"-";"-"
"Tocantins";"2005";"Borracha (látex coagulado)";"2103";"2442"
"Tocantins";"2005";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2005";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2005";"Café (em grão) Total";"-";"-"
"Tocantins";"2005";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2005";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2005";"Caju";"...";"..."
"Tocantins";"2005";"Cana-de-açúcar";"161873";"9749"
"Tocantins";"2005";"Cana para forragem";"...";"..."
"Tocantins";"2005";"Caqui";"-";"-"
"Tocantins";"2005";"Castanha de caju";"394";"376"
"Tocantins";"2005";"Cebola";"-";"-"
"Tocantins";"2005";"Centeio (em grão)";"-";"-"
"Tocantins";"2005";"Cevada (em grão)";"-";"-"
"Tocantins";"2005";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2005";"Coco-da-baía*";"9549";"4329"
"Tocantins";"2005";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2005";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2005";"Ervilha (em grão)";"-";"-"
"Tocantins";"2005";"Fava (em grão)";"-";"-"
"Tocantins";"2005";"Feijão (em grão)";"11559";"13868"
"Tocantins";"2005";"Figo";"-";"-"
"Tocantins";"2005";"Fumo (em folha)";"-";"-"
"Tocantins";"2005";"Girassol (em grão)";"-";"-"
"Tocantins";"2005";"Goiaba";"45";"27"
"Tocantins";"2005";"Guaraná (semente)";"-";"-"
"Tocantins";"2005";"Juta (fibra)";"-";"-"
"Tocantins";"2005";"Laranja";"1899";"701"
"Tocantins";"2005";"Limão";"123";"47"
"Tocantins";"2005";"Linho (semente)";"-";"-"
"Tocantins";"2005";"Maçã";"-";"-"
"Tocantins";"2005";"Malva (fibra)";"-";"-"
"Tocantins";"2005";"Mamão";"1460";"692"
"Tocantins";"2005";"Mamona (baga)";"-";"-"
"Tocantins";"2005";"Mandioca";"335027";"29407"
"Tocantins";"2005";"Manga";"2057";"791"
"Tocantins";"2005";"Maracujá";"1721";"856"
"Tocantins";"2005";"Marmelo";"-";"-"
"Tocantins";"2005";"Melancia";"92051";"33978"
"Tocantins";"2005";"Melão";"3000";"2400"
"Tocantins";"2005";"Milho (em grão)";"156588";"48349"
"Tocantins";"2005";"Noz (fruto seco)";"-";"-"
"Tocantins";"2005";"Palmito";"-";"-"
"Tocantins";"2005";"Pera";"-";"-"
"Tocantins";"2005";"Pêssego";"-";"-"
"Tocantins";"2005";"Pimenta-do-reino";"-";"-"
"Tocantins";"2005";"Rami (fibra)";"-";"-"
"Tocantins";"2005";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2005";"Soja (em grão)";"905328";"390151"
"Tocantins";"2005";"Sorgo (em grão)";"13600";"3073"
"Tocantins";"2005";"Tangerina";"666";"333"
"Tocantins";"2005";"Tomate";"685";"873"
"Tocantins";"2005";"Trigo (em grão)";"-";"-"
"Tocantins";"2005";"Triticale (em grão)";"-";"-"
"Tocantins";"2005";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2005";"Urucum (semente)";"-";"-"
"Tocantins";"2005";"Uva";"72";"158"
"Tocantins";"2006";"Abacate";"2180";"1175"
"Tocantins";"2006";"Abacaxi*";"42437";"35172"
"Tocantins";"2006";"Açaí";"...";"..."
"Tocantins";"2006";"Alfafa fenada";"...";"..."
"Tocantins";"2006";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2006";"Algodão herbáceo (em caroço)";"920";"813"
"Tocantins";"2006";"Alho";"-";"-"
"Tocantins";"2006";"Amendoim (em casca)";"227";"154"
"Tocantins";"2006";"Arroz (em casca)";"263212";"94429"
"Tocantins";"2006";"Aveia (em grão)";"-";"-"
"Tocantins";"2006";"Azeitona";"-";"-"
"Tocantins";"2006";"Banana (cacho)";"32418";"16992"
"Tocantins";"2006";"Batata-doce";"-";"-"
"Tocantins";"2006";"Batata-inglesa";"-";"-"
"Tocantins";"2006";"Borracha (látex coagulado)";"1902";"2802"
"Tocantins";"2006";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2006";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2006";"Café (em grão) Total";"-";"-"
"Tocantins";"2006";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2006";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2006";"Caju";"...";"..."
"Tocantins";"2006";"Cana-de-açúcar";"193390";"14118"
"Tocantins";"2006";"Cana para forragem";"...";"..."
"Tocantins";"2006";"Caqui";"-";"-"
"Tocantins";"2006";"Castanha de caju";"525";"483"
"Tocantins";"2006";"Cebola";"-";"-"
"Tocantins";"2006";"Centeio (em grão)";"-";"-"
"Tocantins";"2006";"Cevada (em grão)";"-";"-"
"Tocantins";"2006";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2006";"Coco-da-baía*";"10262";"4783"
"Tocantins";"2006";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2006";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2006";"Ervilha (em grão)";"-";"-"
"Tocantins";"2006";"Fava (em grão)";"-";"-"
"Tocantins";"2006";"Feijão (em grão)";"11140";"14696"
"Tocantins";"2006";"Figo";"-";"-"
"Tocantins";"2006";"Fumo (em folha)";"-";"-"
"Tocantins";"2006";"Girassol (em grão)";"-";"-"
"Tocantins";"2006";"Goiaba";"-";"-"
"Tocantins";"2006";"Guaraná (semente)";"-";"-"
"Tocantins";"2006";"Juta (fibra)";"-";"-"
"Tocantins";"2006";"Laranja";"1853";"681"
"Tocantins";"2006";"Limão";"75";"23"
"Tocantins";"2006";"Linho (semente)";"-";"-"
"Tocantins";"2006";"Maçã";"-";"-"
"Tocantins";"2006";"Malva (fibra)";"-";"-"
"Tocantins";"2006";"Mamão";"785";"423"
"Tocantins";"2006";"Mamona (baga)";"759";"461"
"Tocantins";"2006";"Mandioca";"335146";"30238"
"Tocantins";"2006";"Manga";"2041";"800"
"Tocantins";"2006";"Maracujá";"711";"463"
"Tocantins";"2006";"Marmelo";"-";"-"
"Tocantins";"2006";"Melancia";"134005";"32870"
"Tocantins";"2006";"Melão";"900";"720"
"Tocantins";"2006";"Milho (em grão)";"142149";"46761"
"Tocantins";"2006";"Noz (fruto seco)";"-";"-"
"Tocantins";"2006";"Palmito";"-";"-"
"Tocantins";"2006";"Pera";"-";"-"
"Tocantins";"2006";"Pêssego";"-";"-"
"Tocantins";"2006";"Pimenta-do-reino";"-";"-"
"Tocantins";"2006";"Rami (fibra)";"-";"-"
"Tocantins";"2006";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2006";"Soja (em grão)";"742891";"269028"
"Tocantins";"2006";"Sorgo (em grão)";"39949";"13129"
"Tocantins";"2006";"Tangerina";"450";"225"
"Tocantins";"2006";"Tomate";"212";"233"
"Tocantins";"2006";"Trigo (em grão)";"-";"-"
"Tocantins";"2006";"Triticale (em grão)";"-";"-"
"Tocantins";"2006";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2006";"Urucum (semente)";"-";"-"
"Tocantins";"2006";"Uva";"72";"158"
"Tocantins";"2007";"Abacate";"704";"324"
"Tocantins";"2007";"Abacaxi*";"39034";"33395"
"Tocantins";"2007";"Açaí";"...";"..."
"Tocantins";"2007";"Alfafa fenada";"...";"..."
"Tocantins";"2007";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2007";"Algodão herbáceo (em caroço)";"2130";"2025"
"Tocantins";"2007";"Alho";"-";"-"
"Tocantins";"2007";"Amendoim (em casca)";"175";"121"
"Tocantins";"2007";"Arroz (em casca)";"364970";"168481"
"Tocantins";"2007";"Aveia (em grão)";"-";"-"
"Tocantins";"2007";"Azeitona";"-";"-"
"Tocantins";"2007";"Banana (cacho)";"34437";"19019"
"Tocantins";"2007";"Batata-doce";"-";"-"
"Tocantins";"2007";"Batata-inglesa";"-";"-"
"Tocantins";"2007";"Borracha (látex coagulado)";"1902";"2756"
"Tocantins";"2007";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2007";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2007";"Café (em grão) Total";"-";"-"
"Tocantins";"2007";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2007";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2007";"Caju";"...";"..."
"Tocantins";"2007";"Cana-de-açúcar";"202620";"16017"
"Tocantins";"2007";"Cana para forragem";"...";"..."
"Tocantins";"2007";"Caqui";"-";"-"
"Tocantins";"2007";"Castanha de caju";"546";"521"
"Tocantins";"2007";"Cebola";"-";"-"
"Tocantins";"2007";"Centeio (em grão)";"-";"-"
"Tocantins";"2007";"Cevada (em grão)";"-";"-"
"Tocantins";"2007";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2007";"Coco-da-baía*";"10304";"4767"
"Tocantins";"2007";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2007";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2007";"Ervilha (em grão)";"-";"-"
"Tocantins";"2007";"Fava (em grão)";"-";"-"
"Tocantins";"2007";"Feijão (em grão)";"11362";"16534"
"Tocantins";"2007";"Figo";"-";"-"
"Tocantins";"2007";"Fumo (em folha)";"-";"-"
"Tocantins";"2007";"Girassol (em grão)";"-";"-"
"Tocantins";"2007";"Goiaba";"-";"-"
"Tocantins";"2007";"Guaraná (semente)";"-";"-"
"Tocantins";"2007";"Juta (fibra)";"-";"-"
"Tocantins";"2007";"Laranja";"1992";"737"
"Tocantins";"2007";"Limão";"75";"23"
"Tocantins";"2007";"Linho (semente)";"-";"-"
"Tocantins";"2007";"Maçã";"-";"-"
"Tocantins";"2007";"Malva (fibra)";"-";"-"
"Tocantins";"2007";"Mamão";"460";"307"
"Tocantins";"2007";"Mamona (baga)";"684";"421"
"Tocantins";"2007";"Mandioca";"349684";"32809"
"Tocantins";"2007";"Manga";"2102";"823"
"Tocantins";"2007";"Maracujá";"738";"494"
"Tocantins";"2007";"Marmelo";"-";"-"
"Tocantins";"2007";"Melancia";"134865";"27692"
"Tocantins";"2007";"Melão";"-";"-"
"Tocantins";"2007";"Milho (em grão)";"157590";"61081"
"Tocantins";"2007";"Noz (fruto seco)";"-";"-"
"Tocantins";"2007";"Palmito";"-";"-"
"Tocantins";"2007";"Pera";"-";"-"
"Tocantins";"2007";"Pêssego";"-";"-"
"Tocantins";"2007";"Pimenta-do-reino";"-";"-"
"Tocantins";"2007";"Rami (fibra)";"-";"-"
"Tocantins";"2007";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2007";"Soja (em grão)";"731672";"322064"
"Tocantins";"2007";"Sorgo (em grão)";"15480";"3304"
"Tocantins";"2007";"Tangerina";"140";"70"
"Tocantins";"2007";"Tomate";"260";"280"
"Tocantins";"2007";"Trigo (em grão)";"-";"-"
"Tocantins";"2007";"Triticale (em grão)";"-";"-"
"Tocantins";"2007";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2007";"Urucum (semente)";"-";"-"
"Tocantins";"2007";"Uva";"72";"158"
"Tocantins";"2008";"Abacate";"-";"-"
"Tocantins";"2008";"Abacaxi*";"48018";"49917"
"Tocantins";"2008";"Açaí";"...";"..."
"Tocantins";"2008";"Alfafa fenada";"...";"..."
"Tocantins";"2008";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2008";"Algodão herbáceo (em caroço)";"6696";"6304"
"Tocantins";"2008";"Alho";"-";"-"
"Tocantins";"2008";"Amendoim (em casca)";"6288";"4094"
"Tocantins";"2008";"Arroz (em casca)";"420584";"262557"
"Tocantins";"2008";"Aveia (em grão)";"-";"-"
"Tocantins";"2008";"Azeitona";"-";"-"
"Tocantins";"2008";"Banana (cacho)";"31921";"19224"
"Tocantins";"2008";"Batata-doce";"-";"-"
"Tocantins";"2008";"Batata-inglesa";"-";"-"
"Tocantins";"2008";"Borracha (látex coagulado)";"2069";"2953"
"Tocantins";"2008";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2008";"Cacau (em amêndoa)";"4";"4"
"Tocantins";"2008";"Café (em grão) Total";"-";"-"
"Tocantins";"2008";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2008";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2008";"Caju";"...";"..."
"Tocantins";"2008";"Cana-de-açúcar";"392071";"32552"
"Tocantins";"2008";"Cana para forragem";"...";"..."
"Tocantins";"2008";"Caqui";"-";"-"
"Tocantins";"2008";"Castanha de caju";"578";"559"
"Tocantins";"2008";"Cebola";"-";"-"
"Tocantins";"2008";"Centeio (em grão)";"-";"-"
"Tocantins";"2008";"Cevada (em grão)";"-";"-"
"Tocantins";"2008";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2008";"Coco-da-baía*";"10967";"5230"
"Tocantins";"2008";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2008";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2008";"Ervilha (em grão)";"-";"-"
"Tocantins";"2008";"Fava (em grão)";"-";"-"
"Tocantins";"2008";"Feijão (em grão)";"14062";"45210"
"Tocantins";"2008";"Figo";"-";"-"
"Tocantins";"2008";"Fumo (em folha)";"-";"-"
"Tocantins";"2008";"Girassol (em grão)";"-";"-"
"Tocantins";"2008";"Goiaba";"-";"-"
"Tocantins";"2008";"Guaraná (semente)";"-";"-"
"Tocantins";"2008";"Juta (fibra)";"-";"-"
"Tocantins";"2008";"Laranja";"1601";"623"
"Tocantins";"2008";"Limão";"75";"23"
"Tocantins";"2008";"Linho (semente)";"-";"-"
"Tocantins";"2008";"Maçã";"-";"-"
"Tocantins";"2008";"Malva (fibra)";"-";"-"
"Tocantins";"2008";"Mamão";"460";"319"
"Tocantins";"2008";"Mamona (baga)";"133";"84"
"Tocantins";"2008";"Mandioca";"330678";"32337"
"Tocantins";"2008";"Manga";"2233";"1051"
"Tocantins";"2008";"Maracujá";"826";"562"
"Tocantins";"2008";"Marmelo";"-";"-"
"Tocantins";"2008";"Melancia";"65396";"18873"
"Tocantins";"2008";"Melão";"-";"-"
"Tocantins";"2008";"Milho (em grão)";"230270";"115424"
"Tocantins";"2008";"Noz (fruto seco)";"-";"-"
"Tocantins";"2008";"Palmito";"-";"-"
"Tocantins";"2008";"Pera";"-";"-"
"Tocantins";"2008";"Pêssego";"-";"-"
"Tocantins";"2008";"Pimenta-do-reino";"-";"-"
"Tocantins";"2008";"Rami (fibra)";"-";"-"
"Tocantins";"2008";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2008";"Soja (em grão)";"894309";"605724"
"Tocantins";"2008";"Sorgo (em grão)";"37788";"11167"
"Tocantins";"2008";"Tangerina";"140";"70"
"Tocantins";"2008";"Tomate";"522";"512"
"Tocantins";"2008";"Trigo (em grão)";"-";"-"
"Tocantins";"2008";"Triticale (em grão)";"-";"-"
"Tocantins";"2008";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2008";"Urucum (semente)";"-";"-"
"Tocantins";"2008";"Uva";"72";"158"
"Tocantins";"2009";"Abacate";"-";"-"
"Tocantins";"2009";"Abacaxi*";"48657";"59599"
"Tocantins";"2009";"Açaí";"...";"..."
"Tocantins";"2009";"Alfafa fenada";"...";"..."
"Tocantins";"2009";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2009";"Algodão herbáceo (em caroço)";"11558";"13870"
"Tocantins";"2009";"Alho";"-";"-"
"Tocantins";"2009";"Amendoim (em casca)";"5641";"4468"
"Tocantins";"2009";"Arroz (em casca)";"376119";"232263"
"Tocantins";"2009";"Aveia (em grão)";"-";"-"
"Tocantins";"2009";"Azeitona";"-";"-"
"Tocantins";"2009";"Banana (cacho)";"25348";"16565"
"Tocantins";"2009";"Batata-doce";"-";"-"
"Tocantins";"2009";"Batata-inglesa";"-";"-"
"Tocantins";"2009";"Borracha (látex coagulado)";"1790";"2685"
"Tocantins";"2009";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2009";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2009";"Café (em grão) Total";"-";"-"
"Tocantins";"2009";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2009";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2009";"Caju";"...";"..."
"Tocantins";"2009";"Cana-de-açúcar";"664284";"64224"
"Tocantins";"2009";"Cana para forragem";"...";"..."
"Tocantins";"2009";"Caqui";"-";"-"
"Tocantins";"2009";"Castanha de caju";"516";"490"
"Tocantins";"2009";"Cebola";"-";"-"
"Tocantins";"2009";"Centeio (em grão)";"-";"-"
"Tocantins";"2009";"Cevada (em grão)";"-";"-"
"Tocantins";"2009";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2009";"Coco-da-baía*";"12527";"7286"
"Tocantins";"2009";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2009";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2009";"Ervilha (em grão)";"-";"-"
"Tocantins";"2009";"Fava (em grão)";"-";"-"
"Tocantins";"2009";"Feijão (em grão)";"24970";"66251"
"Tocantins";"2009";"Figo";"-";"-"
"Tocantins";"2009";"Fumo (em folha)";"-";"-"
"Tocantins";"2009";"Girassol (em grão)";"-";"-"
"Tocantins";"2009";"Goiaba";"-";"-"
"Tocantins";"2009";"Guaraná (semente)";"-";"-"
"Tocantins";"2009";"Juta (fibra)";"-";"-"
"Tocantins";"2009";"Laranja";"1562";"602"
"Tocantins";"2009";"Limão";"75";"23"
"Tocantins";"2009";"Linho (semente)";"-";"-"
"Tocantins";"2009";"Maçã";"-";"-"
"Tocantins";"2009";"Malva (fibra)";"-";"-"
"Tocantins";"2009";"Mamão";"180";"164"
"Tocantins";"2009";"Mamona (baga)";"-";"-"
"Tocantins";"2009";"Mandioca";"347161";"38222"
"Tocantins";"2009";"Manga";"2215";"1106"
"Tocantins";"2009";"Maracujá";"634";"459"
"Tocantins";"2009";"Marmelo";"-";"-"
"Tocantins";"2009";"Melancia";"88135";"21128"
"Tocantins";"2009";"Melão";"-";"-"
"Tocantins";"2009";"Milho (em grão)";"250451";"89864"
"Tocantins";"2009";"Noz (fruto seco)";"-";"-"
"Tocantins";"2009";"Palmito";"-";"-"
"Tocantins";"2009";"Pera";"-";"-"
"Tocantins";"2009";"Pêssego";"-";"-"
"Tocantins";"2009";"Pimenta-do-reino";"-";"-"
"Tocantins";"2009";"Rami (fibra)";"-";"-"
"Tocantins";"2009";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2009";"Soja (em grão)";"875428";"575844"
"Tocantins";"2009";"Sorgo (em grão)";"57957";"16971"
"Tocantins";"2009";"Tangerina";"140";"102"
"Tocantins";"2009";"Tomate";"592";"651"
"Tocantins";"2009";"Trigo (em grão)";"-";"-"
"Tocantins";"2009";"Triticale (em grão)";"-";"-"
"Tocantins";"2009";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2009";"Urucum (semente)";"-";"-"
"Tocantins";"2009";"Uva";"72";"158"
"Tocantins";"2010";"Abacate";"-";"-"
"Tocantins";"2010";"Abacaxi*";"41946";"51228"
"Tocantins";"2010";"Açaí";"...";"..."
"Tocantins";"2010";"Alfafa fenada";"...";"..."
"Tocantins";"2010";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2010";"Algodão herbáceo (em caroço)";"14408";"18488"
"Tocantins";"2010";"Alho";"-";"-"
"Tocantins";"2010";"Amendoim (em casca)";"11137";"8871"
"Tocantins";"2010";"Arroz (em casca)";"447320";"244335"
"Tocantins";"2010";"Aveia (em grão)";"-";"-"
"Tocantins";"2010";"Azeitona";"-";"-"
"Tocantins";"2010";"Banana (cacho)";"25141";"16548"
"Tocantins";"2010";"Batata-doce";"-";"-"
"Tocantins";"2010";"Batata-inglesa";"-";"-"
"Tocantins";"2010";"Borracha (látex coagulado)";"480";"675"
"Tocantins";"2010";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2010";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2010";"Café (em grão) Total";"-";"-"
"Tocantins";"2010";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2010";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2010";"Caju";"...";"..."
"Tocantins";"2010";"Cana-de-açúcar";"715317";"67937"
"Tocantins";"2010";"Cana para forragem";"...";"..."
"Tocantins";"2010";"Caqui";"-";"-"
"Tocantins";"2010";"Castanha de caju";"502";"484"
"Tocantins";"2010";"Cebola";"-";"-"
"Tocantins";"2010";"Centeio (em grão)";"-";"-"
"Tocantins";"2010";"Cevada (em grão)";"-";"-"
"Tocantins";"2010";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2010";"Coco-da-baía*";"11244";"6994"
"Tocantins";"2010";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2010";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2010";"Ervilha (em grão)";"-";"-"
"Tocantins";"2010";"Fava (em grão)";"-";"-"
"Tocantins";"2010";"Feijão (em grão)";"33427";"68556"
"Tocantins";"2010";"Figo";"-";"-"
"Tocantins";"2010";"Fumo (em folha)";"-";"-"
"Tocantins";"2010";"Girassol (em grão)";"-";"-"
"Tocantins";"2010";"Goiaba";"-";"-"
"Tocantins";"2010";"Guaraná (semente)";"-";"-"
"Tocantins";"2010";"Juta (fibra)";"-";"-"
"Tocantins";"2010";"Laranja";"2422";"969"
"Tocantins";"2010";"Limão";"75";"22"
"Tocantins";"2010";"Linho (semente)";"-";"-"
"Tocantins";"2010";"Maçã";"-";"-"
"Tocantins";"2010";"Malva (fibra)";"-";"-"
"Tocantins";"2010";"Mamão";"180";"176"
"Tocantins";"2010";"Mamona (baga)";"-";"-"
"Tocantins";"2010";"Mandioca";"337026";"40321"
"Tocantins";"2010";"Manga";"2164";"1103"
"Tocantins";"2010";"Maracujá";"630";"451"
"Tocantins";"2010";"Marmelo";"-";"-"
"Tocantins";"2010";"Melancia";"87224";"34428"
"Tocantins";"2010";"Melão";"-";"-"
"Tocantins";"2010";"Milho (em grão)";"282475";"99609"
"Tocantins";"2010";"Noz (fruto seco)";"-";"-"
"Tocantins";"2010";"Palmito";"-";"-"
"Tocantins";"2010";"Pera";"-";"-"
"Tocantins";"2010";"Pêssego";"-";"-"
"Tocantins";"2010";"Pimenta-do-reino";"-";"-"
"Tocantins";"2010";"Rami (fibra)";"-";"-"
"Tocantins";"2010";"Sisal ou agave (fibra)";"-";"-"
"Tocantins";"2010";"Soja (em grão)";"991326";"594909"
"Tocantins";"2010";"Sorgo (em grão)";"43756";"16922"
"Tocantins";"2010";"Tangerina";"140";"112"
"Tocantins";"2010";"Tomate";"-";"-"
"Tocantins";"2010";"Trigo (em grão)";"-";"-"
"Tocantins";"2010";"Triticale (em grão)";"-";"-"
"Tocantins";"2010";"Tungue (fruto seco)";"-";"-"
"Tocantins";"2010";"Urucum (semente)";"-";"-"
"Tocantins";"2010";"Uva";"-";"-"
"Tocantins";"2011";"Abacate";"-";"-"
"Tocantins";"2011";"Abacaxi*";"39664";"50985"
"Tocantins";"2011";"Açaí";"...";"..."
"Tocantins";"2011";"Alfafa fenada";"...";"..."
"Tocantins";"2011";"Algodão arbóreo (em caroço)";"-";"-"
"Tocantins";"2011";"Algodão herbáceo (em caroço)";"18653";"26846"
"Tocantins";"2011";"Alho";"-";"-"
"Tocantins";"2011";"Amendoim (em casca)";"5290";"4381"
"Tocantins";"2011";"Arroz (em casca)";"467710";"261357"
"Tocantins";"2011";"Aveia (em grão)";"-";"-"
"Tocantins";"2011";"Azeitona";"-";"-"
"Tocantins";"2011";"Banana (cacho)";"27865";"19558"
"Tocantins";"2011";"Batata-doce";"-";"-"
"Tocantins";"2011";"Batata-inglesa";"-";"-"
"Tocantins";"2011";"Borracha (látex coagulado)";"2300";"3408"
"Tocantins";"2011";"Borracha (látex líquido)";"...";"..."
"Tocantins";"2011";"Cacau (em amêndoa)";"-";"-"
"Tocantins";"2011";"Café (em grão) Total";"-";"-"
"Tocantins";"2011";"Café (em grão) Arábica";"...";"..."
"Tocantins";"2011";"Café (em grão) Canephora";"...";"..."
"Tocantins";"2011";"Caju";"...";"..."
"Tocantins";"2011";"Cana-de-açúcar";"2164861";"151911"
"Tocantins";"2011";"Cana para forragem";"...";"..."
"Tocantins";"2011";"Caqui";"-";"-"
"Tocantins";"2011";"Castanha de caju";"572";"570"
"Tocantins";"2011";"Cebola";"-";"-"
"Tocantins";"2011";"Centeio (em grão)";"-";"-"
"Tocantins";"2011";"Cevada (em grão)";"-";"-"
"Tocantins";"2011";"Chá-da-índia (folha verde)";"-";"-"
"Tocantins";"2011";"Coco-da-baía*";"12813";"8002"
"Tocantins";"2011";"Dendê (cacho de coco)";"-";"-"
"Tocantins";"2011";"Erva-mate (folha verde)";"-";"-"
"Tocantins";"2011";"Ervilha (em grão)";"-";"-"
"Tocantins";"2011";"Fava (em grão)";"-";"-"
"Tocantins";"2011";"Feijão (em grão)";"34003";"64121"
"Tocantins";"2011";"Figo";"-";"-"
"Tocantins";"2011";"Fumo (em folha)";"-";"-"
"Tocantins";"2011";"Girassol (em grão)";"-";"-"
"Tocantins";"2011";"Goiaba";"-";"-"
"Tocantins";"2011";"Guaraná (semente)";"-";"-"
"Tocantins";"2011";"Juta (fibra)";"-";"-"
"Tocantins";"2011";"Laranja";"2115";"877"
"Tocantins";"2011";"Limão";"75";"38"
"Tocantins";"2011";"Linho (semente)";"-";"-"
"Tocantins";"2011";"Maçã";"-";"-"
"Tocantins";"2011";"Malva (fibra)";"-";"-"
"Tocantins";"2011";"Mamão";"290";"403"
"Tocantins";"2011";"Mamona (baga)";"-";"-"
"Tocantins";"2011";"Mandioca";"316090";"43100"
"Tocantins";"2011";"Manga";"1767";"960"
