NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",1.884,"764.411.969,28",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""SOJA""",2.122,"677.462.950,53",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""TRIGO""",1.038,"231.628.863,89",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""MILHO""",510,"99.994.974,35",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""UVA""",14,"27.962.028,55",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""AVEIA""",44,"8.775.942,94",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""FEIJÃO""",15,"2.756.004,00",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,RS,"""CEVADA""",1,"35.334,00",5.628,"1.813.028.067,54",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""SOJA""",1.379,"331.591.391,55",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""MILHO""",2.212,"328.533.486,59",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""TRIGO""",343,"93.438.300,66",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""ARROZ""",67,"17.679.123,72",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""LARANJA""",15,"7.070.000,00",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
SUL,PR,"""CAFÉ""",19,"3.706.572,33",4.053,"789.588.844,89",10.371,"2.788.574.062,13",14.529,"6.165.959.175,50"
