NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",756,"383.496.600,42",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""SOJA""",408,"197.853.845,84",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""TRIGO""",276,"129.026.859,45",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""MAÇÃ""",87,"76.783.856,00",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""MILHO""",75,"20.353.981,61",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""UVA""",11,"14.560.834,70",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""AVEIA""",50,"11.787.537,27",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""ALHO""",8,"2.514.455,00",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,RS,"""FEIJÃO""",7,"1.587.332,00",1.678,"837.965.302,29",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""MILHO""",512,"110.408.061,28",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""SOJA""",134,"51.290.534,62",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""TRIGO""",100,"40.390.546,26",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""AVEIA""",5,"5.389.880,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""CAFÉ""",18,"5.030.138,63",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""LARANJA""",5,"5.000.000,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""ARROZ""",11,"2.619.042,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""FEIJÃO""",1,"1.368.144,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""MAÇÃ""",3,"690.750,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",2,"685.920,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,PR,"""ALHO""",1,"162.000,00",792,"223.035.016,79",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""ARROZ""",312,"52.293.514,02",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""MAÇÃ""",91,"34.189.103,87",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""ALHO""",52,"16.775.307,46",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""SOJA""",28,"10.618.278,11",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""MILHO""",25,"9.202.795,67",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""TRIGO""",6,"3.177.979,80",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",3,"410.000,00",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
SUL,SC,"""FEIJÃO""",2,"80.000,00",519,"126.746.978,93",2.989,"1.187.747.298,01",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""MILHO""",187,"246.234.095,95",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""ALGODÃO""",58,"138.273.221,21",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""SOJA""",17,"36.492.982,00",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""ARROZ""",3,"5.610.000,00",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""FEIJÃO""",3,"2.349.574,40",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,MT,"""AMENDOIM""",2,"100.000,00",270,"429.059.873,56",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""MILHO""",206,"191.417.499,95",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""SOJA""",59,"118.558.055,54",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""ALHO""",10,"21.715.028,91",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""ALGODÃO""",12,"15.608.238,25",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""TRIGO""",4,"8.001.636,60",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""FEIJÃO""",3,"7.158.000,00",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
CENTRO-OESTE,GO,"""CAFÉ""",3,"7.000.000,00",300,"373.218.459,25",987,"1.113.393.163,82",4.889,"3.030.924.166,68"
