NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""MAÇÃ""",51,"38.422.240,00",51,"38.422.240,00",146,"53.816.695,17",148,"55.532.042,17"
SUL,SC,"""MAÇÃ""",94,"15.274.455,17",94,"15.274.455,17",146,"53.816.695,17",148,"55.532.042,17"
SUL,PR,"""MAÇÃ""",1,"120.000,00",1,"120.000,00",146,"53.816.695,17",148,"55.532.042,17"
CENTRO-OESTE,DF,"""MAÇÃ""",1,"1.700.000,00",1,"1.700.000,00",1,"1.700.000,00",148,"55.532.042,17"
SUDESTE,MG,"""ABACAXI""",1,"15.347,00",1,"15.347,00",1,"15.347,00",148,"55.532.042,17"

