NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""MAÇÃ""",95,"44.727.180,32",98,"45.927.180,32",168,"66.512.270,32",173,"67.366.455,23"
SUL,RS,"""MORANGO""",2,"900.000,00",98,"45.927.180,32",168,"66.512.270,32",173,"67.366.455,23"
SUL,RS,"""PÊSSEGO""",1,"300.000,00",98,"45.927.180,32",168,"66.512.270,32",173,"67.366.455,23"
SUL,SC,"""MAÇÃ""",70,"20.585.090,00",70,"20.585.090,00",168,"66.512.270,32",173,"67.366.455,23"
NORDESTE,BA,"""MANGA""",1,"243.214,77",5,"854.184,91",5,"854.184,91",173,"67.366.455,23"
NORDESTE,BA,"""GOIABA""",1,"205.447,91",5,"854.184,91",5,"854.184,91",173,"67.366.455,23"
NORDESTE,BA,"""ABACAXI""",1,"190.256,50",5,"854.184,91",5,"854.184,91",173,"67.366.455,23"
NORDESTE,BA,"""ACEROLA""",1,"130.199,73",5,"854.184,91",5,"854.184,91",173,"67.366.455,23"
NORDESTE,BA,"""MORANGO""",1,"85.066,00",5,"854.184,91",5,"854.184,91",173,"67.366.455,23"

