NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",3.623,"1.262.577.670,26",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""SOJA""",1.130,"436.719.587,08",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""TRIGO""",450,"177.098.629,58",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""MILHO""",290,"83.178.650,64",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""UVA""",8,"10.109.944,82",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""AVEIA""",26,"6.021.760,16",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""FEIJÃO""",24,"5.515.626,76",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,RS,"""ALHO""",6,"3.816.859,50",5.557,"1.985.038.728,80",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""SOJA""",793,"322.576.894,17",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""MILHO""",484,"128.330.833,06",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""TRIGO""",163,"80.551.105,36",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""ARROZ""",34,"8.023.250,00",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""AVEIA""",7,"4.619.243,66",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""FEIJÃO""",19,"3.945.304,44",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""CAFÉ""",18,"3.941.000,74",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""LARANJA""",13,"3.890.000,00",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",7,"2.189.797,94",1.542,"559.022.549,37",7.955,"2.721.762.701,81",12.148,"6.075.561.743,94"
