NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",374,"682.218.071,43",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""TRIGO""",411,"549.196.852,97",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""UVA""",223,"227.996.289,74",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""MILHO""",198,"144.995.628,65",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""SOJA""",8,"62.017.000,00",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""MAÇÃ""",32,"60.635.718,27",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""CANOLA""",5,"8.851.411,19",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""AVEIA""",10,"4.082.239,56",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""GIRASSOL""",2,"2.511.221,08",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,RS,"""PÊSSEGO""",2,"2.050.000,00",1.265,"1.744.554.432,89",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""MILHO""",343,"619.776.975,83",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""TRIGO""",175,"283.927.438,93",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",67,"61.484.032,52",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""ALGODÃO""",48,"56.032.892,97",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""CAFÉ""",21,"30.261.272,94",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""AVEIA""",23,"22.750.000,05",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""ARROZ""",29,"15.238.531,76",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""SOJA""",1,"6.000.000,00",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,PR,"""CANOLA""",1,"400.000,00",708,"1.095.871.145,00",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""ARROZ""",136,"203.360.078,17",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""ALGODÃO""",40,"70.479.714,91",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""MAÇÃ""",22,"37.535.164,70",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""MILHO""",40,"37.230.950,86",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""TRIGO""",40,"36.411.723,49",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUL,SC,"""UVA""",7,"1.250.685,00",285,"386.268.317,13",2.258,"3.226.693.895,02",3.661,"5.495.612.178,55"
SUDESTE,SP,"""ARROZ""",203,"235.120.095,94",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""ALGODÃO""",118,"231.344.271,67",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""CAFÉ""",44,"157.035.431,95",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MILHO""",89,"109.949.732,27",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""AMENDOIM""",33,"98.226.284,39",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""TRIGO""",17,"31.445.627,52",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""SERINGUEIRA""",8,"12.049.104,65",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MAMONA""",6,"7.172.179,23",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""TOMATE""",4,"6.925.573,75",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MARACUJÁ""",14,"5.981.663,09",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MORANGO""",5,"5.368.234,20",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MANDIOCA (AIPIM, MACAXEIRA)""",4,"4.232.696,50",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""UVA""",2,"3.029.516,16",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""CEVADA""",1,"2.680.154,57",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
SUDESTE,SP,"""MAÇÃ""",11,"2.366.843,30",621,"919.440.473,08",1.029,"1.566.530.383,34",3.661,"5.495.612.178,55"
