NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",177,"384.027.809,83",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""TRIGO""",81,"180.546.065,19",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""UVA""",61,"118.976.952,31",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""MILHO""",43,"75.196.221,85",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""SOJA""",16,"30.789.600,65",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""PÊSSEGO""",3,"6.553.224,55",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""AVEIA""",5,"6.500.000,00",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""LARANJA""",2,"2.000.000,00",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""MAÇÃ""",1,"1.800.000,00",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""FEIJÃO""",1,"600.000,00",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,RS,"""AMENDOIM""",1,"414.400,00",391,"807.404.274,38",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""TRIGO""",60,"232.300.039,88",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""MILHO""",46,"143.240.677,77",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",19,"52.981.968,60",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""AVEIA""",23,"48.742.420,00",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""ALGODÃO""",24,"32.874.936,04",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""SOJA""",7,"32.560.000,00",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""LARANJA""",3,"22.975.481,82",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""CAFÉ""",6,"12.967.727,65",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""ARROZ""",11,"6.950.253,76",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""FEIJÃO""",1,"3.000.000,00",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,PR,"""UVA""",1,"322.000,00",201,"588.915.505,52",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""ARROZ""",74,"183.238.078,55",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""ALGODÃO""",14,"51.728.381,36",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""MILHO""",17,"31.473.397,61",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""TRIGO""",10,"17.148.019,25",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""MAÇÃ""",7,"11.520.955,74",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""SOJA""",3,"4.891.181,62",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",7,"4.430.000,00",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUL,SC,"""UVA""",4,"3.350.000,00",136,"307.780.014,13",728,"1.704.099.794,03",1.088,"2.544.459.223,46"
SUDESTE,SP,"""ARROZ""",78,"149.850.583,34",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MILHO""",26,"44.924.311,36",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""ALGODÃO""",12,"41.153.002,32",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""ABACAXI""",5,"12.524.156,46",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""AMENDOIM""",4,"7.439.000,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""TRIGO""",4,"6.390.080,08",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MORANGO""",2,"4.564.002,17",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""CEVADA""",1,"2.645.213,87",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""SOJA""",3,"2.500.000,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""TOMATE""",1,"2.172.113,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MANDIOCA (AIPIM, MACAXEIRA)""",2,"2.000.000,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MAÇÃ""",3,"1.884.411,71",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MARACUJÁ""",3,"1.593.754,86",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""GOIABA""",3,"1.245.587,83",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MANGA""",3,"1.188.329,09",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""FEIJÃO""",1,"1.000.000,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""BANANA""",2,"891.050,65",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""CAFÉ""",1,"660.000,00",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""ACEROLA""",1,"473.191,06",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""PÊSSEGO""",2,"288.635,69",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,SP,"""MAMÃO""",1,"97.179,12",158,"285.484.602,61",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""TRIGO""",9,"48.145.877,38",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""CAFÉ""",9,"47.099.857,74",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""MILHO""",15,"42.261.514,03",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""ALGODÃO""",18,"24.279.761,64",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""MAÇÃ""",3,"5.607.820,49",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""TOMATE""",2,"3.000.000,00",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""FEIJÃO""",2,"1.500.000,00",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,MG,"""SORGO""",1,"1.448.620,00",59,"173.343.451,28",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,ES,"""CAFÉ""",9,"19.600.000,00",10,"20.015.814,18",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,ES,"""BANANA""",1,"415.814,18",10,"20.015.814,18",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,RJ,"""MAÇÃ""",1,"1.661.475,59",2,"2.318.827,65",229,"481.162.695,72",1.088,"2.544.459.223,46"
SUDESTE,RJ,"""BANANA""",1,"657.352,06",2,"2.318.827,65",229,"481.162.695,72",1.088,"2.544.459.223,46"
CENTRO-OESTE,GO,"""MILHO""",36,"106.814.615,06",59,"136.625.853,82",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,GO,"""ARROZ""",17,"24.092.355,22",59,"136.625.853,82",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,GO,"""TRIGO""",5,"5.000.000,00",59,"136.625.853,82",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,GO,"""SORGO""",1,"718.883,54",59,"136.625.853,82",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MT,"""MILHO""",11,"97.387.645,56",19,"113.547.645,56",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MT,"""GIRASSOL""",1,"9.000.000,00",19,"113.547.645,56",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MT,"""ARROZ""",6,"5.500.000,00",19,"113.547.645,56",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MT,"""ALGODÃO""",1,"1.660.000,00",19,"113.547.645,56",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MS,"""ARROZ""",5,"7.000.000,00",10,"14.600.000,00",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MS,"""SOJA""",2,"5.000.000,00",10,"14.600.000,00",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MS,"""MILHO""",2,"1.600.000,00",10,"14.600.000,00",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,MS,"""MANDIOCA (AIPIM, MACAXEIRA)""",1,"1.000.000,00",10,"14.600.000,00",89,"267.776.466,38",1.088,"2.544.459.223,46"
CENTRO-OESTE,DF,"""TRIGO""",1,"3.002.967,00",1,"3.002.967,00",89,"267.776.466,38",1.088,"2.544.459.223,46"
NORDESTE,CE,"""MILHO""",5,"23.266.893,00",9,"28.953.649,05",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,CE,"""ALGODÃO""",4,"5.686.756,05",9,"28.953.649,05",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,SE,"""ALGODÃO""",12,"17.430.000,00",13,"17.860.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,SE,"""FEIJÃO""",1,"430.000,00",13,"17.860.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PI,"""CAJU""",1,"3.000.000,00",3,"4.922.362,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PI,"""ARROZ""",1,"1.050.000,00",3,"4.922.362,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PI,"""ALHO""",1,"872.362,00",3,"4.922.362,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PB,"""MILHO""",1,"2.500.000,00",2,"4.250.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PB,"""ALGODÃO""",1,"1.750.000,00",2,"4.250.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,PE,"""ALGODÃO""",1,"1.415.000,00",1,"1.415.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORDESTE,BA,"""MILHO""",1,"1.400.000,00",1,"1.400.000,00",29,"58.801.011,05",1.088,"2.544.459.223,46"
NORTE,RO,"""ARROZ""",6,"17.120.256,28",8,"20.019.256,28",13,"32.619.256,28",1.088,"2.544.459.223,46"
NORTE,RO,"""MILHO""",2,"2.899.000,00",8,"20.019.256,28",13,"32.619.256,28",1.088,"2.544.459.223,46"
NORTE,TO,"""ARROZ""",5,"12.600.000,00",5,"12.600.000,00",13,"32.619.256,28",1.088,"2.544.459.223,46"

