NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
CENTRO-OESTE,MT,"""ALGODÃO""",156,"545.684.526,66",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,MT,"""SOJA""",140,"321.028.166,47",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,MT,"""MILHO""",142,"202.067.631,37",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,MT,"""ARROZ""",10,"12.546.582,00",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,MT,"""FEIJÃO""",1,"1.000.000,00",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,MT,"""AMENDOIM""",1,"50.000,00",450,"1.082.376.906,50",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""SOJA""",272,"590.579.852,34",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""MILHO""",194,"304.510.847,90",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""ALGODÃO""",21,"48.685.000,00",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""CAFÉ""",10,"19.567.683,72",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""ALHO""",10,"11.788.400,00",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""ARROZ""",5,"7.149.704,37",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""FEIJÃO""",3,"3.954.367,82",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""TRIGO""",2,"1.108.851,93",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
CENTRO-OESTE,GO,"""SORGO""",1,"235.000,00",518,"987.579.708,08",1.525,"2.639.570.326,49",7.879,"7.209.768.190,99"
