NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",975,"423.145.541,40",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""SOJA""",915,"419.344.146,25",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""MILHO""",184,"48.691.968,74",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""TRIGO""",142,"43.967.947,79",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""UVA""",8,"20.226.285,95",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""FEIJÃO""",13,"3.260.796,00",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,RS,"""AVEIA""",1,"332.931,00",2.238,"958.969.617,13",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""SOJA""",386,"194.550.561,51",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""MILHO""",220,"66.159.762,27",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""TRIGO""",30,"15.491.555,69",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""ARROZ""",44,"8.758.919,34",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""LARANJA""",9,"8.580.000,00",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""CAFÉ""",12,"5.340.086,25",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""AVEIA""",3,"3.500.000,00",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""FEIJÃO""",9,"2.532.614,97",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",1,"1.071.000,00",714,"305.984.500,03",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,SC,"""ARROZ""",558,"71.243.496,14",655,"115.370.382,81",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,SC,"""SOJA""",52,"30.155.626,37",655,"115.370.382,81",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
SUL,SC,"""MILHO""",33,"9.916.229,29",655,"115.370.382,81",3.607,"1.380.324.499,97",5.193,"3.409.800.240,52"
