NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",327,"680.410.484,88",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""TRIGO""",186,"294.064.706,21",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""SOJA""",72,"285.245.513,89",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""UVA""",91,"129.657.187,54",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""MILHO""",116,"107.909.730,64",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""MAÇÃ""",11,"19.805.104,26",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""CANOLA""",4,"17.563.440,72",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""FEIJÃO""",12,"9.742.000,00",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""PÊSSEGO""",3,"9.000.000,00",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""AVEIA""",5,"6.500.000,00",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""MARACUJÁ""",1,"928.872,90",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,RS,"""LARANJA""",1,"500.000,00",829,"1.561.327.041,04",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""MILHO""",158,"366.325.866,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""TRIGO""",119,"280.819.123,56",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",85,"111.924.280,64",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""SOJA""",19,"94.846.960,52",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""AVEIA""",36,"41.964.894,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""ARROZ""",25,"17.781.058,95",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""ALGODÃO""",19,"17.550.945,19",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""CAFÉ""",5,"11.000.000,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""CEVADA""",2,"5.634.302,72",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""AMENDOIM""",2,"2.000.000,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""CANOLA""",3,"1.100.000,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,PR,"""UVA""",1,"30.000,00",474,"950.977.431,58",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""ARROZ""",109,"260.899.244,98",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""ALGODÃO""",29,"45.456.093,76",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""MILHO""",29,"38.128.065,02",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""MAÇÃ""",10,"35.100.000,00",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""TRIGO""",34,"27.702.188,95",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""SOJA""",5,"14.402.063,00",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",4,"2.000.000,00",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUL,SC,"""UVA""",4,"1.205.918,00",224,"424.893.573,71",1.527,"2.937.198.046,33",2.417,"4.371.399.207,09"
SUDESTE,SP,"""ARROZ""",152,"186.285.823,08",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""ALGODÃO""",72,"157.446.058,44",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""AMENDOIM""",29,"112.908.129,27",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MILHO""",68,"66.147.573,38",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""TRIGO""",18,"21.599.098,60",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""CAFÉ""",22,"21.108.504,21",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MAMONA""",9,"19.795.835,30",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""SOJA""",5,"16.764.475,70",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""TOMATE""",15,"16.252.136,09",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MANDIOCA (AIPIM, MACAXEIRA)""",3,"10.800.000,00",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""BANANA""",16,"10.700.038,08",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MORANGO""",5,"4.307.488,22",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""ABACAXI""",9,"3.620.222,93",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MANGA""",8,"2.470.198,99",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MAÇÃ""",6,"2.435.768,82",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""PÊSSEGO""",3,"2.274.841,57",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MAMÃO""",9,"1.948.493,74",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""GOIABA""",7,"1.083.165,30",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""MARACUJÁ""",5,"738.918,40",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""ACEROLA""",2,"406.562,17",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,SP,"""GIRASSOL""",1,"170.800,00",464,"659.264.132,29",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""MILHO""",41,"95.007.719,53",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""TRIGO""",21,"64.334.927,10",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""CAFÉ""",32,"51.027.835,64",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""ALGODÃO""",26,"28.568.619,07",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""ARROZ""",21,"15.079.693,97",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""MAÇÃ""",9,"7.138.478,47",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""TOMATE""",2,"3.865.271,22",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""SOJA""",1,"2.213.464,18",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""BANANA""",4,"1.737.703,20",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""MANGA""",3,"1.122.154,49",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""FEIJÃO""",2,"557.058,75",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""ABACAXI""",3,"227.455,00",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""MAMÃO""",2,"226.021,79",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""SERINGUEIRA""",1,"54.332,00",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""SORGO""",1,"37.800,00",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""GOIABA""",2,"12.631,84",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,MG,"""MARACUJÁ""",1,"1.560,00",172,"271.212.726,25",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,ES,"""CAFÉ""",5,"6.571.000,00",8,"8.002.631,22",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,ES,"""MILHO""",3,"1.431.631,22",8,"8.002.631,22",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,RJ,"""MAÇÃ""",1,"1.278.112,08",4,"2.270.595,08",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,RJ,"""PÊSSEGO""",1,"366.086,00",4,"2.270.595,08",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,RJ,"""MAMÃO""",1,"343.360,40",4,"2.270.595,08",648,"940.750.084,84",2.417,"4.371.399.207,09"
SUDESTE,RJ,"""MANGA""",1,"283.036,60",4,"2.270.595,08",648,"940.750.084,84",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""MILHO""",33,"84.721.723,05",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""ARROZ""",12,"11.480.102,88",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""TOMATE""",1,"4.479.944,76",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""SORGO""",5,"4.034.817,87",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""SOJA""",2,"2.106.892,86",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,GO,"""TRIGO""",3,"1.300.000,00",56,"108.123.481,42",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MT,"""ARROZ""",26,"43.607.317,88",51,"92.110.135,52",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MT,"""MILHO""",20,"38.810.661,64",51,"92.110.135,52",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MT,"""GIRASSOL""",4,"8.500.000,00",51,"92.110.135,52",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MT,"""ALGODÃO""",1,"1.192.156,00",51,"92.110.135,52",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MS,"""MILHO""",14,"39.149.998,31",21,"45.529.998,31",136,"256.028.018,26",2.417,"4.371.399.207,09"
CENTRO-OESTE,MS,"""MANDIOCA (AIPIM, MACAXEIRA)""",4,"5.000.000,00",21,"45.529.998,31",136,"256.028.018,26",2.417,"4.371.399.207,09"
