NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",2.147,"691.696.220,45",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""SOJA""",425,"282.223.655,08",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""TRIGO""",1.653,"278.369.550,33",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""MILHO""",280,"71.292.031,17",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""UVA""",13,"10.482.529,47",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""ALHO""",13,"8.300.170,00",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""FEIJÃO""",29,"8.155.719,23",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""AVEIA""",39,"7.761.194,05",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""CANOLA""",4,"700.000,00",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,RS,"""GIRASSOL""",1,"130.000,00",4.604,"1.359.111.069,78",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""MILHO""",1.940,"312.657.865,24",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""SOJA""",413,"146.202.967,79",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""TRIGO""",161,"70.500.068,48",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""ARROZ""",31,"9.396.849,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",17,"5.632.636,84",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""ALGODÃO""",4,"5.115.000,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""CAFÉ""",14,"4.797.024,78",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""FEIJÃO""",16,"2.513.683,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""LARANJA""",6,"2.260.000,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""AVEIA""",5,"2.140.000,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,PR,"""CEVADA""",1,"432.768,00",2.608,"561.648.863,13",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""MILHO""",64,"64.301.334,52",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""ARROZ""",432,"55.091.885,15",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""SOJA""",33,"17.866.122,05",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""TRIGO""",37,"12.525.467,66",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""ALHO""",38,"7.204.521,20",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""FEIJÃO""",5,"1.745.174,35",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",3,"682.000,00",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
SUL,SC,"""UVA""",1,"193.500,00",613,"159.610.004,93",7.825,"2.080.369.937,84",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""SOJA""",168,"297.125.041,94",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""MILHO""",391,"277.417.712,55",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""ALGODÃO""",105,"113.752.212,58",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""ARROZ""",9,"5.915.345,20",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""FEIJÃO""",7,"3.810.000,00",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MT,"""GIRASSOL""",3,"2.051.840,00",683,"700.072.152,27",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""MILHO""",394,"271.776.032,96",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""SOJA""",198,"235.443.427,50",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""ALGODÃO""",36,"31.582.378,11",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""FEIJÃO""",27,"21.026.451,27",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""SORGO""",43,"19.218.618,88",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""ARROZ""",26,"11.132.700,00",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""ALHO""",9,"9.041.000,00",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""TRIGO""",5,"5.385.375,00",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,GO,"""CAFÉ""",7,"3.935.932,43",745,"608.541.916,15",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""MILHO""",687,"258.945.464,26",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""SOJA""",177,"106.207.260,47",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""ALGODÃO""",28,"39.045.684,25",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""ARROZ""",6,"2.001.650,00",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""FEIJÃO""",3,"1.619.595,00",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""SORGO""",2,"510.000,00",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
CENTRO-OESTE,MS,"""TRIGO""",2,"446.150,00",905,"408.775.803,98",2.395,"1.743.964.798,22",12.045,"4.784.912.672,44"
