NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",2.498,"669.522.304,79",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""TRIGO""",1.538,"397.261.171,36",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""SOJA""",437,"257.387.288,89",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""MILHO""",211,"70.253.776,40",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""UVA""",15,"6.982.316,00",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""ALHO""",9,"4.417.998,88",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""AVEIA""",24,"4.350.181,13",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""FEIJÃO""",5,"897.664,70",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""GIRASSOL""",3,"610.000,00",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,RS,"""CANOLA""",3,"510.000,00",4.743,"1.412.192.702,15",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""MILHO""",2.743,"345.155.339,54",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""SOJA""",379,"155.096.925,63",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""TRIGO""",159,"70.242.793,24",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""CAFÉ""",95,"15.025.529,04",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""ARROZ""",38,"11.715.640,00",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",26,"8.574.000,00",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""FEIJÃO""",15,"6.707.795,83",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""CEVADA""",2,"2.244.944,00",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,PR,"""AVEIA""",2,"492.721,80",3.459,"615.255.689,08",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""ARROZ""",523,"56.437.478,00",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""SOJA""",29,"16.018.608,25",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""MILHO""",27,"14.002.047,65",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""TRIGO""",33,"8.696.029,10",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""ALHO""",26,"6.300.950,00",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""UVA""",4,"651.591,00",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",3,"611.500,00",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
SUL,SC,"""ALGODÃO""",2,"600.000,00",647,"103.318.204,00",8.849,"2.130.766.595,23",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""SOJA""",159,"303.337.531,26",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""MILHO""",428,"280.693.186,23",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""ALGODÃO""",167,"227.947.722,49",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""ARROZ""",10,"5.046.858,50",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""GIRASSOL""",2,"616.826,00",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,MT,"""FEIJÃO""",1,"83.600,00",767,"817.725.724,48",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""MILHO""",400,"194.644.020,98",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""SOJA""",185,"167.549.282,29",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""ALGODÃO""",60,"50.498.334,47",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""SORGO""",51,"19.216.503,19",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""TRIGO""",7,"9.868.600,00",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""ALHO""",10,"6.700.228,39",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
CENTRO-OESTE,GO,"""ARROZ""",16,"4.644.000,00",746,"458.653.472,92",2.699,"1.681.478.401,65",14.096,"4.937.359.883,69"
